"Time","R1","R2","R3","R4","R5","R6","R7","R8","R9","R10","R11","R12","R13","R14"
10197.6004,350.52083665339,183.33575418994,336.13066709199,173.07096387947,297.34553656979,370.57346727258,219.52220227409,180.76085221832,359.06859421735,177.07412877729,178.15570009178,192.19483474373,417.71544196802,264.86393553792
10207.6078,351.50155378486,182.51009577015,334.93683958691,173.49634803432,298.45257106356,371.77521326636,217.55360063834,180.5796361315,358.45567298106,177.45890383617,178.40453293963,192.62434136995,414.01235995375,262.23961865252
10217.6153,351.25752988048,182.90403032722,333.4912476574,172.79724605867,298.18129191952,367.85505859842,216.11952922402,180.5801548037,354.49347956132,176.8968903437,178.13586848091,191.62537921124,413.17487341015,257.39139973673
10227.6227,351.60334661355,182.09150039904,331.9631165517,173.10229495111,298.3411450016,367.88810491908,214.20191502095,180.34491701245,353.22225324028,177.17272763562,178.18055943498,192.40060673799,408.83955982616,255.43440105309
10237.6302,353.04422310757,182.73647246608,331.28996371466,172.5222510477,298.36142606196,365.20720720721,213.54063435069,180.72446536866,349.342333001,176.89301824279,178.03718925821,191.92942679227,408.66193532953,251.40169133192
10247.6377,0,182.27657621708,329.93795605885,172.82027539413,298.53241775791,365.81148847963,211.75000997407,180.48619533993,347.66703888335,177.24190651072,178.14767966163,192.19168130289,403.3609106495,249.32582073477
10257.6451,352.63868525896,182.53427773344,328.3739383548,172.2333266813,297.97864100926,361.55736267241,210.79585078795,180.20100542611,342.24083748754,176.84351922079,177.98679222697,191.48722656874,401.50739603684,244.87654074754
10267.6526,351.596812749,181.91488427773,326.31970971729,172.45914987029,297.85236346215,361.12556804592,208.87508477957,180.1272741781,339.78739780658,177.1453035807,178.02904912015,191.80464633562,395.03644192815,242.88092863696
10277.66,351.88386454183,181.99110135674,323.98397065274,171.61029734584,297.20664324497,356.04552339951,208.05884699781,179.9744254708,333.49607178465,176.4691229891,177.80363912055,191.5533689925,392.2641840437,238.89588735091
10287.6675,352.00565737052,182.08794892259,323.35547669365,172.1438435442,297.22369051421,355.78366419517,206.72236185917,180.28231726779,331.80382851446,177.02714462497,178.11096923507,192.13296343605,386.42769427056,237.63277354502
10297.675,352.02505976096,182.03300079809,320.22688304956,171.64542007583,297.22033695305,350.7836243323,206.12954318771,179.97657995531,325.77296111665,176.52149614786,177.97661705439,191.6057001437,383.247637654,233.81255734174
10307.6824,350.80868525896,181.91580207502,318.67853582679,171.94412292956,296.53421430853,348.63071035637,204.73233592659,180.29185285669,323.01894317049,176.85421739651,178.1464825825,191.89745329714,375.78397990511,231.94778411584
10317.6899,350.64490039841,181.69229848364,314.32505283305,171.36324087009,295.79475407218,342.92469903532,204.06646718532,179.7873842962,316.3962113659,176.21252644605,177.75048880731,191.15499760498,371.51911805749,228.60413259404
10327.6973,349.24167330677,181.67162809258,312.19869213286,171.38563161046,294.94302938358,340.52774455872,202.56006383403,180.01137089052,313.95046859422,176.53139595226,177.82107657316,191.65156474533,364.48351341653,227.34612469584
