Time::Relative Time!!R,Channel1_R1_Area::EGFP_R1_Area!!R,Channel1_R1_IntensityMean::EGFP_R1_IntensityMean!!R,Channel1_R1_IntensitySum1::EGFP_R1_IntensitySum1!!R,Channel1_R1_IntensityMaximum::EGFP_R1_IntensityMaximum!!R,Channel1_R2_Area::EGFP_R2_Area!!R,Channel1_R2_IntensityMean::EGFP_R2_IntensityMean!!R,Channel1_R2_IntensitySum1::EGFP_R2_IntensitySum1!!R,Channel1_R2_IntensityMaximum::EGFP_R2_IntensityMaximum!!R,Channel1_R3_Area::EGFP_R3_Area!!R,Channel1_R3_IntensityMean::EGFP_R3_IntensityMean!!R,Channel1_R3_IntensitySum1::EGFP_R3_IntensitySum1!!R,Channel1_R3_IntensityMaximum::EGFP_R3_IntensityMaximum!!R,Channel1_R4_Area::EGFP_R4_Area!!R,Channel1_R4_IntensityMean::EGFP_R4_IntensityMean!!R,Channel1_R4_IntensitySum1::EGFP_R4_IntensitySum1!!R,Channel1_R4_IntensityMaximum::EGFP_R4_IntensityMaximum!!R,Channel1_R5_Area::EGFP_R5_Area!!R,Channel1_R5_IntensityMean::EGFP_R5_IntensityMean!!R,Channel1_R5_IntensitySum1::EGFP_R5_IntensitySum1!!R,Channel1_R5_IntensityMaximum::EGFP_R5_IntensityMaximum!!R,Channel1_R6_Area::EGFP_R6_Area!!R,Channel1_R6_IntensityMean::EGFP_R6_IntensityMean!!R,Channel1_R6_IntensitySum1::EGFP_R6_IntensitySum1!!R,Channel1_R6_IntensityMaximum::EGFP_R6_IntensityMaximum!!R,Channel1_R7_Area::EGFP_R7_Area!!R,Channel1_R7_IntensityMean::EGFP_R7_IntensityMean!!R,Channel1_R7_IntensitySum1::EGFP_R7_IntensitySum1!!R,Channel1_R7_IntensityMaximum::EGFP_R7_IntensityMaximum!!R,Channel1_R8_Area::EGFP_R8_Area!!R,Channel1_R8_IntensityMean::EGFP_R8_IntensityMean!!R,Channel1_R8_IntensitySum1::EGFP_R8_IntensitySum1!!R,Channel1_R8_IntensityMaximum::EGFP_R8_IntensityMaximum!!R,Channel1_R9_Area::EGFP_R9_Area!!R,Channel1_R9_IntensityMean::EGFP_R9_IntensityMean!!R,Channel1_R9_IntensitySum1::EGFP_R9_IntensitySum1!!R,Channel1_R9_IntensityMaximum::EGFP_R9_IntensityMaximum!!R,Channel1_R10_Area::EGFP_R10_Area!!R,Channel1_R10_IntensityMean::EGFP_R10_IntensityMean!!R,Channel1_R10_IntensitySum1::EGFP_R10_IntensitySum1!!R,Channel1_R10_IntensityMaximum::EGFP_R10_IntensityMaximum!!R,Channel1_R11_Area::EGFP_R11_Area!!R,Channel1_R11_IntensityMean::EGFP_R11_IntensityMean!!R,Channel1_R11_IntensitySum1::EGFP_R11_IntensitySum1!!R,Channel1_R11_IntensityMaximum::EGFP_R11_IntensityMaximum!!R,Channel1_R12_Area::EGFP_R12_Area!!R,Channel1_R12_IntensityMean::EGFP_R12_IntensityMean!!R,Channel1_R12_IntensitySum1::EGFP_R12_IntensitySum1!!R,Channel1_R12_IntensityMaximum::EGFP_R12_IntensityMaximum!!R,Channel1_R13_Area::EGFP_R13_Area!!R,Channel1_R13_IntensityMean::EGFP_R13_IntensityMean!!R,Channel1_R13_IntensitySum1::EGFP_R13_IntensitySum1!!R,Channel1_R13_IntensityMaximum::EGFP_R13_IntensityMaximum!!R,Channel1_R14_Area::EGFP_R14_Area!!R,Channel1_R14_IntensityMean::EGFP_R14_IntensityMean!!R,Channel1_R14_IntensitySum1::EGFP_R14_IntensitySum1!!R,Channel1_R14_IntensityMaximum::EGFP_R14_IntensityMaximum!!R
"Ms",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190.1417,10604.75,180.7593625498,4537060,248,10587.85,368.55885873903,9236085,530,10595.8775,175.05482674748,4390200,244,10585.7375,195.05627619238,4887135,283,10582.78,168.28968380709,4215320,244,10598.835,179.94379335087,4514070,250,10589.9625,184.2315978456,4617765,249,10589.54,350.68887647622,8789666,506,10594.1875,184.22699900299,4619492,271,10584.0475,284.34721168816,7123182,441,10588.2725,178.67231954032,4477707,239,10584.47,200.71028261217,5028194,266,10596.7225,183.5436386109,4603458,255,10591.6525,176.82133312059,4432734,249
200.1492,10604.75,180.08988047809,4520256,249,10587.85,368.22641660016,9227754,517,10595.8775,175.29961322222,4396339,250,10585.7375,203.69259628817,5103518,303,10582.78,167.84138454168,4204091,242,10598.835,179.47189667544,4502232,267,10589.9625,183.79956114103,4606936,247,10589.54,351.07584583466,8799365,499,10594.1875,184.29950149551,4621310,273,10584.0475,279.7592511277,7008249,432,10588.2725,178.19189178405,4465667,260,10584.47,200.00295385598,5010474,274,10596.7225,183.34779315019,4598546,268,10591.6525,176.83154493598,4432990,259
210.1566,10604.75,180.37916334661,4527517,256,10587.85,363.84225857941,9117887,507,10595.8775,174.68670999641,4380968,254,10585.7375,212.66721213331,5328377,341,10582.78,168.36533854998,4217215,249,10598.835,179.56848441362,4504655,263,10589.9625,184.16397366846,4616070,251,10589.54,348.64036067667,8738322,489,10594.1875,184.05962113659,4615295,262,10584.0475,276.59131372001,6928889,419,10588.2725,178.71629224692,4478809,246,10584.47,199.80504550535,5005516,285,10596.7225,183.41090865596,4600129,255,10591.6525,176.28617017033,4419318,254
220.1641,10604.75,179.71756972112,4510911,248,10587.85,362.99409417398,9096632,519,10595.8775,175.17584433191,4393235,243,10585.7375,220.23204949112,5517914,351,10582.78,167.80705046311,4203231,235,10598.835,179.34820218449,4499129,246,10589.9625,183.83283462996,4607770,291,10589.54,349.22554261092,8752989,512,10594.1875,184.14245264207,4617372,265,10584.0475,271.56472795497,6802968,425,10588.2725,178.14532540601,4464500,245,10584.47,198.96307680026,4984423,269,10596.7225,183.30756349428,4597537,254,10591.6525,176.46802824205,4423877,252
230.1716,10604.75,179.88561752988,4515129,251,10587.85,357.98439744613,8971089,502,10595.8775,174.78523864588,4383439,242,10585.7375,228.91015765316,5735344,374,10582.78,168.19298946024,4212898,251,10598.835,179.68755481145,4507642,251,10589.9625,184.32076600838,4620000,251,10589.54,346.43177465688,8682966,495,10594.1875,184.21463609173,4619182,259,10584.0475,268.94511197158,6737344,417,10588.2725,178.75974621923,4479898,245,10584.47,198.9865479802,4985011,269,10596.7225,183.41058968941,4600121,258,10591.6525,176.27336551119,4418997,262
240.179,10604.75,179.15517928287,4496795,250,10587.85,355.86169193935,8917894,522,10595.8775,174.98361178675,4388414,248,10585.7375,235.64426262223,5904067,383,10582.78,167.74588789524,4201699,237,10598.835,179.24946185123,4496652,249,10589.9625,183.88170756034,4608995,248,10589.54,346.32333226939,8680248,495,10594.1875,184.01555333998,4614190,271,10584.0475,264.39994411401,6623483,389,10588.2725,180.43513826264,4521885,252,10584.47,198.30185214753,4967858,268,10596.7225,183.14269765958,4593402,249,10591.6525,176.11986916112,4415149,252
250.1865,10604.75,179.43262948207,4503759,250,10587.85,350.79285714286,8790869,522,10595.8775,174.85856692851,4385278,246,10585.7375,243.02610257434,6089019,416,10582.78,168.03225806452,4208872,245,10598.835,179.61293151559,4505770,251,10589.9625,184.34833433074,4620691,265,10589.54,344.10154005745,8624561,502,10594.1875,184.18556331007,4618453,270,10584.0475,261.55630513752,6552247,409,10588.2725,187.83639918599,4707368,273,10584.47,198.5641864921,4974430,271,10596.7225,183.24967106575,4596085,248,10591.6525,175.98807291874,4411845,262
260.1939,10604.75,179.11019920319,4495666,251,10587.85,348.33084596967,8729171,505,10595.8775,175.30076956817,4396368,243,10585.7375,248.87096387947,6235462,425,10582.78,167.71690354519,4200973,233,10598.835,179.10958303436,4493143,254,10589.9625,184.14789547177,4615667,248,10589.54,344.22055537823,8627544,485,10594.1875,184.12622133599,4616965,275,10584.0475,257.43531196359,6449012,396,10588.2725,197.81377439049,4957411,293,10584.47,197.56761935175,4949464,271,10596.7225,183.14074398947,4593353,257,10591.6525,175.77266743787,4406445,247
270.2014,10604.75,179.33330677291,4501266,240,10587.85,342.09469273743,8572893,478,10595.8775,174.78858806173,4383523,242,10585.7375,255.42558371583,6399688,409,10582.78,168.01329447461,4208397,238,10598.835,179.46368492386,4502026,258,10589.9625,184.4530620387,4623316,254,10589.54,341.38126396425,8556380,497,10594.1875,184.2547557328,4620188,275,10584.0475,254.89557303102,6385389,376,10588.2725,211.20920952875,5293114,319,10584.47,197.89286284528,4957612,269,10596.7225,183.20373988278,4594933,255,10591.6525,175.67717100802,4404051,270
280.2089,10604.75,178.69298804781,4485194,250,10587.85,338.85885873903,8491803,482,10595.8775,175.02021611707,4389332,256,10585.7375,259.93107164239,6512573,456,10582.78,167.50698658576,4195715,265,10598.835,179.33381168779,4498768,253,10589.9625,184.31605824855,4619882,246,10589.54,340.96273539738,8545890,489,10594.1875,184.05647058824,4615216,266,10584.0475,251.27408087502,6294667,356,10588.2725,224.311240573,5621464,359,10584.47,197.29526584704,4942641,267,10596.7225,183.22774211555,4595535,256,10591.6525,175.66963181619,4403862,256
290.2163,10604.75,179.03972111554,4493897,243,10587.85,333.05957701516,8346473,485,10595.8775,174.64627776227,4379954,250,10585.7375,265.86334065057,6661206,436,10582.78,167.82609389971,4203708,235,10598.835,179.61572191661,4505840,250,10589.9625,184.37693995611,4621408,256,10589.54,338.14861953399,8475357,478,10594.1875,184.40374875374,4623924,272,10584.0475,248.89285856852,6235015,367,10588.2725,238.72004309485,5982563,386,10584.47,197.34931342807,4943995,281,10596.7225,183.21653841553,4595254,253,10591.6525,175.55542702142,4400999,254
300.2238,10604.75,178.57402390438,4482208,247,10587.85,329.41300877893,8255090,470,10595.8775,175.01722556721,4389257,243,10585.7375,269.37996407903,6749315,433,10582.78,167.25435164484,4189387,258,10598.835,179.07490233596,4492273,242,10589.9625,184.49770596449,4624435,275,10589.54,337.74864347271,8465332,493,10594.1875,184.18795613161,4618513,262,10584.0475,244.78934972656,6132218,347,10588.2725,251.14165436335,6293861,399,10584.47,196.68030496567,4927235,276,10596.7225,183.27443084407,4596706,255,10591.6525,175.53544217958,4400498,255
