"Time","R1","R2","R3","R4","R5","R6"
10617.9136,192.33261949978,172.20075145443,184.23993051347,182.85441836034,166.02639663675,169.50775381633
10627.9211,192.36268132046,171.91241111829,184.313254959,182.44866459251,166.08590023446,169.3671351264
10637.9286,192.28982989212,172.08354880414,184.27467377692,182.91341064285,166.0439404964,169.50783458525
10647.936,192.21608953897,172.07991273432,184.26376600816,182.41254192089,166.1681219177,169.34411598417
10657.9435,192.02573841367,171.69590336135,183.8599765685,182.46337225747,165.90658096855,168.92573297795
10667.9509,192.21685724676,171.70592275372,184.06471942795,182.28837528789,166.11670304794,169.26165091673
10677.9584,192.27027354641,171.67166289593,184.10200783743,182.70762455049,165.96689303905,169.13795331556
10687.9658,192.36227726373,171.70996283129,184.16882802085,182.59182189179,166.1988438839,169.05706324206
10697.9733,192.26073780759,171.53361344538,184.00900900901,182.48999959594,166.09200420406,168.95856554398
10707.9808,192.46636227726,171.55555106658,184.08592897831,182.52317265344,166.24812030075,168.85699862693
10717.9882,192.58196290759,171.51438267615,183.71280248859,182.72099882824,165.9653165171,168.90275422018
10727.9957,192.65283445796,171.5088073691,184.14721447905,182.53097094832,166.35221117309,168.70228576044
10738.0031,192.50393955311,171.51882676147,183.97450814043,182.762293426,165.97404802328,168.80352960181
10748.0106,192.650975797,171.41637039431,184.22373045691,182.60931754818,166.18550408279,168.58533236411
10758.0181,192.90985494363,171.56742889464,183.95144022947,182.71194795749,166.19116339235,168.60503998062
10768.0255,192.77756677038,171.3311247576,184.12184381691,182.72887793446,166.2248767079,168.5
10778.033,193.06727544547,171.47131544926,183.83068718943,182.71566527941,166.23635702159,168.64514174946
10788.0404,193.02517273425,171.33152876535,184.06451743223,182.72200897006,166.40916808149,168.34787173896
10798.0479,193.14085417593,171.36174854557,183.79125762534,182.64099559578,166.08630447086,168.41753493256
10808.0553,193.24158551861,171.19133807369,184.08459580657,182.86427734454,166.49417899588,168.47092318876
10818.0628,193.46951391975,171.60229476406,183.95325819093,182.85049901006,166.38434796669,168.380179307
10828.0703,194.32296254394,171.29722850679,184.50882721286,183.0004444624,166.69807583475,171.26169130119
10838.0777,199.48276698048,177.10997091144,188.67042378702,184.91175401026,166.84606677985,185.24178176238
10848.0852,208.60414562205,193.95972042663,201.61026946229,195.00901046507,169.58638531813,207.49014619175
10858.0926,222.17984565033,218.83524563672,221.56865834444,214.21532183119,175.94433664807,232.9082868912
10868.1001,237.94751303083,242.98226405947,244.68205874036,237.1261061053,184.48027326381,256.68758581698
10878.1076,256.10804476949,267.63413057531,267.33123257787,260.14380379005,193.98670062252,279.73806639205
10888.115,272.40106670977,288.06973173885,290.11384478649,283.00998020122,203.71311342873,299.49535578709
10898.1225,289.31383086185,308.65594699418,310.66917141357,304.28817325953,212.83915433746,318.9839269849
10908.1299,304.29346640268,325.5117970265,330.56134609946,324.64301587943,221.6899911068,334.90053307487
10918.1374,318.69134106429,341.88029250162,347.68912859047,341.99959594327,229.67434715822,350.32020838381
10928.1449,330.77744555336,354.97115384615,364.54296448915,359.27972847388,236.6874444175,363.09401502302
10938.1523,342.34255929533,368.1218487395,377.58962549994,373.15002626369,242.74302692214,375.74153945562
10948.1598,350.90949129258,378.00909017453,391.10111905628,387.36571174593,248.10473765058,385.17397625394
10958.1672,360.11426724312,388.96440691661,401.9253019836,398.24611095398,252.62996200178,395.87181972377
10968.1747,365.68293668431,396.47777957337,411.82737445966,409.33952886985,256.21404317245,402.61291495033
10978.1821,372.06323487818,404.69044925663,419.65693047307,416.89118752273,259.06075673054,411.10835150634
10988.1896,375.33144773526,410.52040239173,427.4907687957,425.22105943675,260.88236720834,416.2302318068
10998.1971,379.7158269021,417.21275048481,434.0206035632,431.04820396784,263.04895302773,423.56372667797
11008.2045,380.57553840559,421.2367081448,440.22179129802,437.61174188856,263.61379254588,427.03683062757
11018.212,383.40203644592,426.63986748546,443.72661899568,440.28809244818,264.20147142049,432.56049592117
11028.2194,383.36280253748,429.96856819651,449.50523168909,446.03786011556,264.2286361064,436.16129553348
11038.2269,383.9169259364,434.53700711054,451.58154567123,446.28041537032,264.04046406338,439.90671189726
11048.2344,382.58612469191,435.75626212023,454.78176382661,449.38753080933,262.85067507478,441.66618205315
11058.2418,382.4473312053,439.20450872657,456.14523492102,449.04299163603,262.27326380467,444.89693885793
11068.2493,379.74968685604,440.21113445378,457.01527087626,449.85175158592,260.61456059504,445.54466521283
11078.2567,378.89102590004,442.53260342599,458.06120470246,448.68891672391,259.36292343763,448.82836604475
11088.2642,375.8710654976,442.87306076277,458.54999394013,448.64341993616,257.54551701835,448.32125837978
11098.2716,374.54188048002,444.18135908209,457.62081363875,445.88864196533,256.18885924489,450.90428882966
11108.2791,371.22970625076,444.43075307046,457.91532339514,446.21132166956,254.34998787291,451.05524594136
11118.2866,368.74338357105,445.59199256626,455.43606835535,440.75041415815,252.95500848896,452.24012599952
11128.294,365.06489151077,444.70887201034,454.19718821961,439.70920037173,250.33846713558,451.30793150796
11138.3015,362.04529475938,443.93220749838,451.00799903042,434.20578609237,248.38515643949,451.01930377191
11148.3089,357.78968847226,442.63368616677,447.80810406819,431.61881288133,245.77350634651,450.01611339956
11158.3164,354.80613358116,441.60580963155,444.85650224215,426.40082427573,244.1588649042,450.40961957839
11168.3239,351.07058871066,440.38716063348,441.26186724841,423.38656107318,241.64661654135,448.77449317503
11178.3313,347.85841852196,439.07171137686,437.33143457359,417.66669360378,239.94453876627,447.95755593248
11188.3388,343.76144490687,436.98234486102,433.27297701289,414.53505192129,237.5187161452,446.77606816897
11198.3462,340.10246878662,434.76931157078,428.60590635479,408.2368176492,235.5248201148,444.61913415718
11208.3537,335.70786698453,432.2298804137,424.05401365491,403.9659380177,232.9970490743,442.71278572006
11218.3612,331.92234029658,428.55716709761,418.71660000808,397.60172128167,230.93774759479,440.03299410387
11228.3686,328.35132732636,425.31407563025,413.34028198602,393.5304052689,228.55622928289,437.76052015185
11238.3761,324.54559780193,422.16584518423,408.95644972327,387.51048527213,226.85823429542,434.81851223649
11248.3835,319.90270313952,417.72410310278,402.55944733972,382.27467776476,224.26263238742,431.30247960585
11258.391,316.5616388541,413.07841790562,398.00153516745,376.67291607742,222.53690678309,427.9847346741
11268.3984,312.56212372217,408.99276826115,391.94639033653,371.755868924,219.95597865632,424.12850335191
11278.4059,308.95773566609,403.31047996122,386.59091827253,365.52422320094,218.38847117795,419.3357967854
11288.4134,305.29637561114,398.8475678733,380.65466812104,360.82451816235,216.14693993047,415.49398271545
11298.4208,301.88403571862,393.08791208791,376.51577586555,355.57258879147,214.7093136066,410.75224133753
11308.4283,298.01547537274,388.37641402715,370.18005898275,350.51731383086,212.58707252001,405.48501736532
11318.4357,294.47993858338,381.86696024564,365.23673898113,344.7374843428,211.03007518797,400.13181487764
11328.4432,291.0631944725,376.89592760181,358.78140023432,339.72920117985,208.86595521061,394.94766173976
11338.4507,287.94577558689,370.32744828701,354.18615925342,334.74621196816,207.70122887865,389.50327114127
11348.4581,284.8473069619,365.90764382676,348.5695471256,329.8141339044,206.01390573207,383.88401583071
11358.4656,281.00901046507,358.50824175824,343.78297580091,324.48793890662,204.40779367774,377.47887892739
11368.473,278.09313507617,353.46477052359,337.64481073001,319.60887308578,202.34841135096,372.5550036346
11378.4805,274.77457675058,346.92647058824,333.47250838282,314.93373469635,201.14051257175,365.55104595752
11388.4879,272.08812477272,341.73416289593,327.62420716681,310.06444704837,199.65502465842,360.84649866731
11398.4954,269.40805689119,335.9012605042,323.82882882883,306.05786092367,198.48439647506,354.88219853001
11408.5029,266.18703786012,331.29767291532,318.25621136832,301.72984767061,196.98560918425,349.36923511833
11418.5103,263.84613519738,324.70014544279,314.20591443461,297.787991434,195.72677661897,343.61372263953
11428.5178,261.47573639339,320.55837912088,309.49989900214,293.23168612873,194.5943891988,338.70103384218
11438.5252,258.07357873045,313.92016806723,305.11214802246,289.44636146915,193.25369876304,331.72893950408
11448.5327,255.95914986464,309.54294602456,300.36423867814,285.2126146511,191.90678308675,327.1483321218
11458.5402,253.29532506364,303.33637685844,296.61681412354,281.5927108166,190.97582666343,320.93615216865
11468.5476,251.25491939068,299.0186247576,291.96764028603,277.45432138672,189.77269787372,316.26948550198
11478.5551,248.82439694533,293.66132029735,288.68929018705,274.4443411855,188.7595601908,310.55528632582
11488.5625,246.97708998343,289.53038138332,284.22417484749,270.55226473797,187.61508610235,306.15499555771
11498.57,244.59505434563,284.47022462831,281.05631640609,267.7034223605,186.95824238014,300.68504159599
11508.5775,242.76803103156,280.82878151261,277.07405163011,263.75081821488,185.98322418951,296.90210806882
11518.5849,240.62459089256,276.10617323853,274.06560820911,261.55279001172,185.31029185868,291.80102576529
11528.5924,238.80500222231,272.64681641888,270.02371429726,257.61941896642,184.34347966691,287.61335917939
11538.5998,236.39496545315,267.70753878475,267.21124712156,255.22861529759,183.37739510066,282.73107988046
11548.6073,234.77627378884,264.69683257919,263.87266189957,251.78035476181,182.64055299539,278.91430417575
11558.6147,232.76855630531,260.47781997414,261.02674423302,249.19261384298,181.8894413453,274.15931669494
11568.6222,231.65974382803,257.4506302521,257.52082575849,246.04707260899,181.28712911311,270.75801631532
11578.6297,229.68063356095,253.55308661926,254.99038500384,243.93046183684,180.5632629962,266.03267102819
11588.6371,228.33944805851,250.57453943116,251.8584010019,240.92411814619,179.97368421053,262.80861804378
11598.6446,226.31039637965,246.94053005818,249.48737526764,238.72802941533,179.18028943326,258.38591390033
11608.652,225.19447250394,244.06484324499,246.68064477033,235.79720392743,178.64738459051,255.43756562475
11618.6595,223.50014141986,240.73396089205,244.40463782168,233.99579781001,178.04947853505,251.81923915677
11628.667,222.34825649521,238.14180672269,241.86627883489,231.35585276173,177.64233163554,248.63318794928
11638.6744,220.65356176007,234.90671460892,239.63919524906,229.61141864318,176.84740075996,244.94778289314
11648.6819,219.59545840236,232.73711215255,237.23181028562,227.05862863146,176.43600937828,242.12297068088
11658.6893,217.88908642773,229.90307853911,234.87415666788,225.50806093176,175.85698116258,238.88203699217
11668.6968,217.24202998101,227.42675339367,232.78984365532,223.18740151117,175.37525264775,236.03856715936
11678.7042,215.59917572427,224.99890917906,230.88756918353,221.75263647016,174.88281186838,233.12418221468
11688.7117,214.86864115722,222.88885746606,228.89342705935,219.65372338276,174.54891260409,230.81516032631
11698.7192,213.53731463898,220.35576923077,226.72613420596,218.47775667704,173.88010348452,227.88199660771
11708.7266,212.84443815912,218.59825468649,224.97749767705,216.40959230676,173.72726170264,225.7278087392
11718.7341,211.32037658087,216.40041208791,223.2135094736,215.23972685765,173.22705958445,223.00197883854
11728.7415,210.67388581357,214.19275210084,221.78960126045,213.24934340781,172.943447328,220.91446571359
11738.749,209.25407087155,212.32332740789,219.8543206884,212.2629601196,172.32456140351,218.30781035458
11748.7565,208.67942139076,210.44485294118,218.19997576051,210.38248010021,172.06892230576,216.52996526936
11758.7639,207.68891672391,209.02993697479,216.53597543732,209.46700876803,171.56867976393,214.20713189565
11768.7714,206.96965533961,207.16164350356,215.12063184261,207.75097983757,171.436939122,212.40069461271
11778.7788,205.96759465029,205.36445539754,213.60433078819,206.76924320175,170.94938960304,210.42860027461
11788.7863,205.48595902865,204.01442307692,212.46830687189,205.40902662734,171.04317244725,208.57858815928
11798.7938,204.52983958948,202.55433904331,210.87795418737,204.69671501879,170.386894656,207.05779016235
11808.8012,203.96173582771,201.35932449903,209.89867894801,203.28518323973,170.2973967176,205.58751312495
11818.8087,203.29092084529,200.06827731092,208.2166606068,202.52389995555,169.74330988762,203.82771989339
11828.8161,202.62046951392,198.52686651584,207.30157960651,201.41860277183,169.6610073571,202.27744124061
11838.8236,202.05349711099,197.40404815773,205.83185876459,200.55941654208,169.35107931118,200.88567159357
