Time::Relative Time!!R,Channel1_R1_Area::EGFP_R1_Area!!R,Channel1_R1_IntensityMean::EGFP_R1_IntensityMean!!R,Channel1_R1_IntensitySum1::EGFP_R1_IntensitySum1!!R,Channel1_R1_IntensityMaximum::EGFP_R1_IntensityMaximum!!R,Channel1_R2_Area::EGFP_R2_Area!!R,Channel1_R2_IntensityMean::EGFP_R2_IntensityMean!!R,Channel1_R2_IntensitySum1::EGFP_R2_IntensitySum1!!R,Channel1_R2_IntensityMaximum::EGFP_R2_IntensityMaximum!!R,Channel1_R3_Area::EGFP_R3_Area!!R,Channel1_R3_IntensityMean::EGFP_R3_IntensityMean!!R,Channel1_R3_IntensitySum1::EGFP_R3_IntensitySum1!!R,Channel1_R3_IntensityMaximum::EGFP_R3_IntensityMaximum!!R,Channel1_R4_Area::EGFP_R4_Area!!R,Channel1_R4_IntensityMean::EGFP_R4_IntensityMean!!R,Channel1_R4_IntensitySum1::EGFP_R4_IntensitySum1!!R,Channel1_R4_IntensityMaximum::EGFP_R4_IntensityMaximum!!R,Channel1_R5_Area::EGFP_R5_Area!!R,Channel1_R5_IntensityMean::EGFP_R5_IntensityMean!!R,Channel1_R5_IntensitySum1::EGFP_R5_IntensitySum1!!R,Channel1_R5_IntensityMaximum::EGFP_R5_IntensityMaximum!!R,Channel1_R6_Area::EGFP_R6_Area!!R,Channel1_R6_IntensityMean::EGFP_R6_IntensityMean!!R,Channel1_R6_IntensitySum1::EGFP_R6_IntensitySum1!!R,Channel1_R6_IntensityMaximum::EGFP_R6_IntensityMaximum!!R
"Ms",,,,,,,,,,,,,,,,,,,,,,,,
310.2312,2614.113125,194.87167158269,4822879,260,2614.43,181.05579347124,4481493,242,2614.535625,190.57617258514,4717332,268,2614.113125,188.20570528102,4657903,254,2612.95125,167.10764815264,4133909,222,2615.48625,180.29965269364,4464580,242
320.2387,2614.113125,195.42062305548,4836465,264,2614.43,180.73998060763,4473676,244,2614.535625,190.09913949824,4705524,271,2614.113125,187.60709523617,4643088,260,2612.95125,167.21598350716,4136589,235,2615.48625,180.66416283014,4473606,243
330.2461,2614.113125,194.66030950746,4817648,260,2614.43,180.46384130575,4466841,242,2614.535625,189.81957742496,4698604,256,2614.113125,187.7953048608,4647746,266,2612.95125,167.02667960223,4131906,220,2615.48625,179.65584363137,4448638,245
340.2536,2614.113125,195.12764152087,4829214,309,2614.43,180.19861021332,4460276,240,2614.535625,189.62711590514,4693840,258,2614.113125,187.23415087478,4633858,257,2612.95125,167.26651305684,4137839,227,2615.48625,179.53186333899,4445568,247
350.2611,2614.113125,194.74403006182,4819720,263,2614.43,179.71747737557,4448367,251,2614.535625,189.50179776189,4690738,281,2614.113125,187.47553436503,4639832,253,2612.95125,166.79864985043,4126265,246,2615.48625,178.87044665213,4429190,243
360.2685,2614.113125,195.07652834458,4827949,265,2614.43,179.71186166774,4448228,247,2614.535625,188.81287116713,4673685,278,2614.113125,186.90864277345,4625802,261,2612.95125,166.91042121433,4129030,236,2615.48625,179.03105564979,4433167,241
370.276,2614.113125,194.34930704271,4809951,263,2614.43,179.33059954751,4438791,243,2614.535625,188.8702783501,4675106,249,2614.113125,187.06000242434,4629548,253,2612.95125,166.78361225645,4125893,227,2615.48625,178.21948954043,4413071,257
380.2834,2614.113125,194.9254515334,4824210,279,2614.43,179.01640271493,4431014,239,2614.535625,188.58077808751,4667940,280,2614.113125,186.65772354439,4619592,251,2612.95125,167.02672002587,4131907,234,2615.48625,178.23927792585,4413561,244
390.2909,2614.113125,194.3351246515,4809600,301,2614.43,178.80805591467,4425857,246,2614.535625,188.57374863653,4667766,265,2614.113125,186.73085781244,4621402,249,2612.95125,166.76344086022,4125394,239,2615.48625,177.47677893547,4394680,250
400.2984,2614.113125,194.71360459008,4818967,274,2614.43,178.45717517776,4417172,246,2614.535625,188.01906839575,4654036,250,2614.113125,186.27136449958,4610030,259,2612.95125,166.99955533996,4131235,229,2615.48625,177.5238672159,4395846,247
410.3058,2614.113125,194.19532102307,4806140,261,2614.43,178.19452973497,4410671,227,2614.535625,187.95729810528,4652507,251,2614.113125,186.48559537759,4615332,244,2612.95125,166.82108497049,4126820,227,2615.48625,176.85635247557,4379317,234
420.3133,2614.113125,194.77126348539,4820394,259,2614.43,178.103385585,4408415,242,2614.535625,187.87181351755,4650391,254,2614.113125,186.1325306073,4606594,260,2612.95125,167.0071145606,4131422,239,2615.48625,176.96914627251,4382110,241
